GEO_ID,id_Fix,NAME,Patientreadmin,PATIENTREADMINZ,Cleanliness - star rating,CLENLINESSZ,Nurse communication - star rating,NURSECOMZ,Doctor communication - star rating,DOCTORCOMZ,Staff responsiveness - star rating,STAFFRESPZ,Communication about medicines - star rating,COMMMEDZ,Discharge information - star rating,DISCHARGEINFOZ,Care transition - star rating,CARETRANSIZ,Overall hospital rating - star rating,OVERALLHOSPZ,Quietness - star rating,QUIETZ,Recommend hospital - star rating,RECHOSZ,Qualzore,INDEX_qual,Lifeexpectancy,LIEEXPZ,INDEX_LifeExpect,infantmortality,INFANTMORZ,INDEX_InfantMort,ReadminRATE,Readminz,INDEX_readminrate,averagez,INDEX_Overall,County,Census Tract,Ranking Overall,Quintile,30 Day Hospital Wide Readmission Rate,Cleanliness - star rating,Nurse communication - star rating,Doctor communication - star rating,Staff responsiveness - star rating,Communication about medicines - star rating,Discharge information - star rating,Care transition - star rating,Overall hospital rating - star rating,Quietness - star rating,Recommend hospital - star rating,Life Expectancy,Infant Mortality Rate
1400000US16027020100,16027020100,"Census Tract 201, Canyon County, Idaho",14.96%,0.37,3.5,0.25,4,0.32,3,0.32,3.5,0.18,3.5,0.37,3.5,0.18,3.5,0.37,3.5,0.25,3,0.32,4,0.47,3.38,3,72.5,-2.44,5,16,0.72,1,85.04%,-0.27,2,1.4,5," Canyon County, Idaho","Census Tract 201, Canyon County, Idaho",40,5,14.75%,3.5,4,3,3.5,3.5,3.5,3.5,3.5,3,4,72.5,5.5
1400000US16027020200,16027020200,"Census Tract 202, Canyon County, Idaho",14.96%,0.37,3.5,0.25,4,0.32,3,0.32,3.5,0.18,3.5,0.37,3.5,0.18,3.5,0.37,3.5,0.25,3,0.32,4,0.47,3.38,3,73.6,-1.96,5,16,0.72,1,85.04%,-0.27,2,1.87,5," Canyon County, Idaho","Census Tract 202, Canyon County, Idaho",39,5,14.75%,3.5,4,3,3.5,3.5,3.5,3.5,3.5,3,4,73.6,5.5
1400000US16027020300,16027020300,"Census Tract 203, Canyon County, Idaho",14.96%,0.37,3.5,0.25,4,0.32,3,0.32,3.5,0.18,3.5,0.37,3.5,0.18,3.5,0.37,3.5,0.25,3,0.32,4,0.47,3.38,3,74.3,-1.66,5,16,0.72,1,85.04%,-0.27,2,2.17,4," Canyon County, Idaho","Census Tract 203, Canyon County, Idaho",37,5,14.75%,3.5,4,3,3.5,3.5,3.5,3.5,3.5,3,4,74.3,5.5
1400000US16027020401,16027020401,"Census Tract 204.01, Canyon County, Idaho",14.96%,0.37,3.5,0.25,4,0.32,3,0.32,3.5,0.18,3.5,0.37,3.5,0.18,3.5,0.37,3.5,0.25,3,0.32,4,0.47,3.38,3,76.7,-0.62,4,16,0.72,1,85.04%,-0.27,2,3.21,3," Canyon County, Idaho","Census Tract 204.01, Canyon County, Idaho",29,4,14.75%,3.5,4,3,3.5,3.5,3.5,3.5,3.5,3,4,76.7,5.5
1400000US16027020402,16027020402,"Census Tract 204.02, Canyon County, Idaho",14.96%,0.37,3.5,0.25,4,0.32,3,0.32,3.5,0.18,3.5,0.37,3.5,0.18,3.5,0.37,3.5,0.25,3,0.32,4,0.47,3.38,3,79.3,0.5,2,16,0.72,1,85.04%,-0.27,2,4.34,2," Canyon County, Idaho","Census Tract 204.02, Canyon County, Idaho",18,3,14.75%,3.5,4,3,3.5,3.5,3.5,3.5,3.5,3,4,79.3,5.5
1400000US16027020501,16027020501,"Census Tract 205.01, Canyon County, Idaho",14.96%,0.37,3.5,0.25,4,0.32,3,0.32,3.5,0.18,3.5,0.37,3.5,0.18,3.5,0.37,3.5,0.25,3,0.32,4,0.47,3.38,3,79.1,0.41,3,16,0.72,1,85.04%,-0.27,2,4.25,3," Canyon County, Idaho","Census Tract 205.01, Canyon County, Idaho",20,3,14.75%,3.5,4,3,3.5,3.5,3.5,3.5,3.5,3,4,79.1,5.5
1400000US16027020503,16027020503,"Census Tract 205.03, Canyon County, Idaho",14.96%,0.37,3.5,0.25,4,0.32,3,0.32,3.5,0.18,3.5,0.37,3.5,0.18,3.5,0.37,3.5,0.25,3,0.32,4,0.47,3.38,3,75.8,-1.01,5,16,0.72,1,85.04%,-0.27,2,2.82,4," Canyon County, Idaho","Census Tract 205.03, Canyon County, Idaho",36,5,14.75%,3.5,4,3,3.5,3.5,3.5,3.5,3.5,3,4,75.8,5.5
1400000US16027020504,16027020504,"Census Tract 205.04, Canyon County, Idaho",14.96%,0.37,3.5,0.25,4,0.32,3,0.32,3.5,0.18,3.5,0.37,3.5,0.18,3.5,0.37,3.5,0.25,3,0.32,4,0.47,3.38,3,76,-0.93,5,16,0.72,1,85.04%,-0.27,2,2.91,4," Canyon County, Idaho","Census Tract 205.04, Canyon County, Idaho",34,5,14.75%,3.5,4,3,3.5,3.5,3.5,3.5,3.5,3,4,76,5.5
1400000US16027020601,16027020601,"Census Tract 206.01, Canyon County, Idaho",14.96%,0.37,3.5,0.25,4,0.32,3,0.32,3.5,0.18,3.5,0.37,3.5,0.18,3.5,0.37,3.5,0.25,3,0.32,4,0.47,3.38,3,78.2,0.02,3,16,0.72,1,85.04%,-0.27,2,3.86,3," Canyon County, Idaho","Census Tract 206.01, Canyon County, Idaho",25,4,14.75%,3.5,4,3,3.5,3.5,3.5,3.5,3.5,3,4,78.2,5.5
1400000US16027020602,16027020602,"Census Tract 206.02, Canyon County, Idaho",14.96%,0.37,3.5,0.25,4,0.32,3,0.32,3.5,0.18,3.5,0.37,3.5,0.18,3.5,0.37,3.5,0.25,3,0.32,4,0.47,3.38,3,76.6,-0.67,4,16,0.72,1,85.04%,-0.27,2,3.17,3," Canyon County, Idaho","Census Tract 206.02, Canyon County, Idaho",31,4,14.75%,3.5,4,3,3.5,3.5,3.5,3.5,3.5,3,4,76.6,5.5
